Date,iso3,CountryName,Region,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-01-24,FRA,France,Île-de-France,2,0,0,2,2,0,TRUE,TRUE
2020-01-24,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-01-25,FRA,France,Île-de-France,2,0,0,2,2,0,TRUE,TRUE
2020-01-25,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-01-26,FRA,France,Île-de-France,2,0,0,2,2,0,TRUE,TRUE
2020-01-26,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-01-27,FRA,France,Île-de-France,2,0,0,2,2,0,TRUE,TRUE
2020-01-27,FRA,France,Île-de-France,2,0,0,2,2,0,TRUE,TRUE
2020-01-27,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-01-27,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-01-28,FRA,France,Île-de-France,3,0,0,3,3,0,TRUE,TRUE
2020-01-28,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-01-29,FRA,France,Île-de-France,4,0,0,4,4,0,TRUE,TRUE
2020-01-29,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-01-30,FRA,France,Île-de-France,5,0,0,5,5,0,TRUE,TRUE
2020-01-30,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-01-31,FRA,France,Île-de-France,5,0,0,5,5,0,TRUE,TRUE
2020-01-31,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-01-31,GBR,United Kingdom,North East and Yorkshire,2,0,0,0,0,0,FALSE,TRUE
2020-02-03,FRA,France,Île-de-France,5,0,0,5,5,0,TRUE,TRUE
2020-02-03,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-02-05,FRA,France,Île-de-France,5,0,0,5,5,0,TRUE,TRUE
2020-02-05,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-02-06,FRA,France,Île-de-France,5,0,0,5,5,0,TRUE,TRUE
2020-02-06,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-02-06,GBR,United Kingdom,North East and Yorkshire,2,0,0,0,0,0,FALSE,TRUE
2020-02-06,GBR,United Kingdom,South East,1,0,0,0,0,0,FALSE,TRUE
2020-02-07,FRA,France,Auvergne-Rhône-Alpes,5,0,0,5,5,0,TRUE,TRUE
2020-02-07,FRA,France,Île-de-France,5,0,0,5,5,0,TRUE,TRUE
2020-02-07,FRA,France,Nouvelle-Aquitaine,1,0,0,1,1,0,TRUE,TRUE
2020-02-08,FRA,France,Auvergne-Rhône-Alpes,5,0,0,5,0,0,TRUE,TRUE
2020-02-08,FRA,France,Auvergne-Rhône-Alpes,5,0,0,5,0,0,TRUE,TRUE
2020-02-08,FRA,France,Île-de-France,5,0,0,5,0,0,TRUE,TRUE
2020-02-08,FRA,France,Île-de-France,5,0,0,5,0,0,TRUE,TRUE
2020-02-08,FRA,France,Nouvelle-Aquitaine,1,0,0,1,0,0,TRUE,TRUE
2020-02-08,FRA,France,Nouvelle-Aquitaine,1,0,0,1,0,0,TRUE,TRUE
